,TOXICITY,paralyzed,blind,deaf
656,0.776861906,,2.0,
1105,0.246873155,,,3.0
842,0.926077366,,2.0,
2812,0.58532089,1.0,,
1619,0.238480464,1.0,,
2407,0.372296005,1.0,,
2206,0.58532089,1.0,,
4310,0.942619443,1.0,,
2502,0.736887753,,,3.0
415,0.97224468,,2.0,
1165,0.066100329,1.0,,
1115,0.066100329,1.0,,
850,0.187820703,,,3.0
2953,0.961456835,,,3.0
1120,0.326537848,,2.0,
1580,0.653122962,1.0,,
2287,0.960043967,,,3.0
3075,0.973990798,,2.0,
1557,0.762353837,1.0,,
912,0.152980477,,2.0,
3699,0.360975266,,,3.0
2600,0.960036933,,2.0,
1122,0.106641263,,2.0,
2728,0.066100329,1.0,,
1877,0.326537848,,2.0,
1548,0.163293183,,2.0,
741,0.939510882,,,3.0
974,0.11435809,1.0,,
1299,0.961425185,1.0,,
1684,0.258479685,1.0,,
1072,0.974135041,,,3.0
3023,0.270306379,,,3.0
2781,0.58532089,,,3.0
1292,0.479723394,,2.0,
470,0.181121677,1.0,,
3192,0.326537848,,2.0,
1267,0.152185649,,,3.0
859,0.181121677,1.0,,
1002,0.922359824,,2.0,
920,0.898122609,,2.0,
1457,0.950175345,1.0,,
9,0.554385364,,2.0,
1842,0.942619443,,,3.0
2221,0.279691517,,2.0,
354,0.220476165,,2.0,
3012,0.316559851,,2.0,
1616,0.372296005,1.0,,
2521,0.782198191,,,3.0
1052,0.187820703,1.0,,
1568,0.653122962,1.0,,
447,0.745668769,,2.0,
2204,0.117548816,,,3.0
3909,0.548882306,,,3.0
4126,0.898122609,,2.0,
3221,0.926077366,,2.0,
450,0.270306379,1.0,,
3434,0.220476165,,2.0,
2371,0.782198191,1.0,,
2168,0.187820703,,,3.0
798,0.884222865,,2.0,
941,0.908921003,,,3.0
1064,0.653122962,1.0,,
4365,0.908921003,,,3.0
383,0.969892025,1.0,,
3534,0.425917059,,2.0,
3801,0.745668769,,2.0,
582,0.698932171,,2.0,
3622,0.961456835,,,3.0
4159,0.432520777,1.0,,
933,0.270306379,,,3.0
3629,0.965940714,,2.0,
2789,0.066100329,,,3.0
2852,0.360975266,,,3.0
2211,0.922532856,1.0,,
2209,0.215792015,,2.0,
1888,0.954391062,1.0,,
36,0.011656082,1.0,,
1661,0.965466678,,2.0,
861,0.736887753,1.0,,
3507,0.345757544,,,3.0
3992,0.658375144,,,3.0
830,0.872855186,1.0,,
2416,0.187820703,,,3.0
3128,0.33357498,,,3.0
132,0.044328522,,,3.0
3564,0.939510882,,,3.0
763,0.114036284,,2.0,
511,0.97224468,,2.0,
1376,0.943564653,,2.0,
2171,0.181121677,,,3.0
344,0.929427028,,2.0,
444,0.898122609,,2.0,
3111,0.802586615,,2.0,
4467,0.983982921,,,3.0
1008,0.884222865,,2.0,
4066,0.902898431,1.0,,
1939,0.220476165,,2.0,
3709,0.345757544,,,3.0
2810,0.093461998,1.0,,
138,0.653122962,,,3.0
4479,0.431809604,,2.0,
1731,0.97224468,,2.0,
4393,0.973990798,,2.0,
4459,0.221665129,,,3.0
2628,0.974135041,1.0,,
3287,0.214414194,,2.0,
1522,0.326537848,,2.0,
2561,0.615120709,,2.0,
4082,0.802586615,,2.0,
1251,0.360975266,1.0,,
408,0.698932171,,2.0,
2467,0.773508906,,2.0,
4213,0.926077366,,2.0,
1944,0.887116849,,,3.0
3291,0.902898431,1.0,,
1826,0.025225265,,,3.0
4238,0.432520777,1.0,,
2850,0.066100329,,,3.0
3818,0.745668769,,2.0,
2604,0.044791911,,,3.0
1169,0.922532856,,,3.0
1222,0.782198191,1.0,,
183,0.106641263,,2.0,
1401,0.094757773,,,3.0
4339,0.152215958,,,3.0
2110,0.929427028,,2.0,
2124,0.116066873,,,3.0
2876,0.329783618,,,3.0
3956,0.960043967,1.0,,
3426,0.372296005,1.0,,
267,0.782198191,1.0,,
2302,0.745668769,,2.0,
1281,0.114036284,,2.0,
3638,0.827987194,1.0,,
3630,0.9630934,,2.0,
1736,0.187820703,1.0,,
3027,0.927991807,,2.0,
2195,0.360975266,1.0,,
529,0.187820703,,,3.0
1053,0.920026064,,2.0,
325,0.47973001,,2.0,
1676,0.782198191,,,3.0
372,0.901114106,,2.0,
