,TOXICITY,blind
1211,0.152980477,2
1109,0.960036933,2
894,0.607900083,2
376,0.541751981,2
721,0.778308272,2
1513,0.9876436,2
935,0.220476165,2
370,0.421680391,2
211,0.114036284,2
587,0.96546638,2
340,0.920759022,2
305,0.745668769,2
1190,0.152980477,2
886,0.901114106,2
1499,0.516429722,2
1439,0.901114106,2
861,0.106641263,2
696,0.745668769,2
883,0.698932171,2
669,0.712886035,2
481,0.078291759,2
691,0.293456465,2
466,0.776861906,2
382,0.745668769,2
1002,0.637626231,2
1146,0.163293183,2
534,0.698932171,2
1242,0.106641263,2
658,0.965940714,2
77,0.152980477,2
552,0.912206173,2
1287,0.425917059,2
185,0.220476165,2
1379,0.898122609,2
397,0.552348495,2
1103,0.82518065,2
816,0.948820055,2
195,0.152980477,2
297,0.163293183,2
1054,0.106641263,2
114,0.929427028,2
1004,0.326537848,2
809,0.152980477,2
1016,0.973990798,2
726,0.973990798,2
133,0.977680027,2
1292,0.973990798,2
749,0.976993859,2
393,0.114036284,2
1205,0.965940714,2
222,0.922359824,2
180,0.97224468,2
769,0.962450266,2
914,0.168917254,2
1047,0.977680027,2
832,0.97224468,2
972,0.187815472,2
250,0.97224468,2
1147,0.488627106,2
819,0.258014441,2
612,0.971079469,2
166,0.316559851,2
793,0.421680391,2
1301,0.776861906,2
734,0.552348495,2
1489,0.982693613,2
1303,0.458883435,2
169,0.898122609,2
969,0.926077366,2
257,0.929427028,2
1183,0.965466678,2
624,0.326537848,2
1043,0.492236853,2
758,0.884222865,2
1238,0.973990798,2
801,0.104288265,2
842,0.773508906,2
1133,0.901114106,2
682,0.152980477,2
450,0.316559851,2
69,0.453091055,2
205,0.067054734,2
1120,0.968348205,2
459,0.552348495,2
1052,0.922359824,2
980,0.453091055,2
346,0.106641263,2
970,0.901114106,2
37,0.106244542,2
925,0.971673369,2
320,0.745668769,2
631,0.698932171,2
74,0.960036933,2
1182,0.745668769,2
569,0.316559851,2
1221,0.220476165,2
929,0.939633489,2
814,0.698932171,2
344,0.960036933,2
1352,0.745668769,2
39,0.868175507,2
993,0.316559851,2
179,0.965466678,2
11,0.912906766,2
1067,0.963526785,2
1422,0.220476165,2
1073,0.421680391,2
1500,0.913747609,2
711,0.977680027,2
1340,0.698932171,2
1463,0.922359824,2
1507,0.987539172,2
599,0.97224468,2
1452,0.421680391,2
600,0.884222865,2
321,0.152980477,2
1370,0.698932171,2
445,0.800483108,2
1389,0.973990798,2
1059,0.421680391,2
224,0.926077366,2
860,0.802586615,2
301,0.922359824,2
9,0.023077946,2
43,0.180525437,2
113,0.316559851,2
1393,0.97224468,2
355,0.552348495,2
1214,0.220476165,2
654,0.698932171,2
511,0.698932171,2
601,0.453091055,2
1148,0.745668769,2
1132,0.884222865,2
760,0.898122609,2
902,0.615120709,2
353,0.615120709,2
85,0.901114106,2
920,0.607900083,2
619,0.142560259,2
708,0.163293183,2
1401,0.763069272,2
523,0.565091789,2
830,0.929427028,2
896,0.935084999,2
497,0.114036284,2
1164,0.163293183,2
207,0.926077366,2
1326,0.157063484,2
63,0.326537848,2
1186,0.114036284,2
1333,0.922359824,2
727,0.965466678,2
1037,0.929427028,2
847,0.926077366,2
1085,0.453091055,2
1406,0.745668769,2
1364,0.607900083,2
223,0.326537848,2
1485,0.966437757,2
591,0.607900083,2
88,0.560298622,2
947,0.220476165,2
1249,0.810124934,2
840,0.152980477,2
1511,0.895399153,2
1300,0.926077366,2
514,0.926077366,2
168,0.894876599,2
422,0.607900083,2
1142,0.39356932,2
1386,0.698932171,2
410,0.965940714,2
971,0.922359824,2
647,0.817091048,2
1026,0.279691517,2
577,0.114036284,2
379,0.922359824,2
65,0.29843989,2
258,0.350022078,2
829,0.926077366,2
657,0.421680391,2
1180,0.977680027,2
470,0.929427028,2
1070,0.745668769,2
404,0.063372299,2
139,0.969425678,2
521,0.969425678,2
40,0.445074707,2
1044,0.163293183,2
495,0.97224468,2
451,0.965940714,2
347,0.922359824,2
280,0.929427028,2
1420,0.726184547,2
403,0.425917059,2
1038,0.453091055,2
641,0.564798176,2
1035,0.898122609,2
138,0.97224468,2
1191,0.922359824,2
873,0.929220498,2
543,0.279691517,2
71,0.106641263,2
402,0.965466678,2
675,0.960036933,2
302,0.884222865,2
539,0.802586615,2
1289,0.833321869,2
764,0.279691517,2
29,0.208581626,2
520,0.969425678,2
193,0.615120709,2
948,0.977680027,2
251,0.901114106,2
1021,0.973990798,2
34,0.896930575,2
722,0.939139187,2
449,0.479723394,2
1177,0.106641263,2
435,0.926077366,2
1356,0.114036284,2
994,0.114036284,2
1461,0.802586615,2
372,0.776861906,2
716,0.963769794,2
1009,0.776861906,2
1391,0.776861906,2
230,0.898122609,2
1475,0.550842583,2
334,0.745668769,2
1086,0.776861906,2
440,0.698932171,2
1105,0.922359824,2
1157,0.958928943,2
737,0.965940714,2
1421,0.326537848,2
1223,0.977680027,2
496,0.745668769,2
915,0.148955032,2
369,0.973990798,2
1375,0.898122609,2
97,0.220476165,2
1106,0.802586615,2
951,0.571107328,2
895,0.97224468,2
1264,0.802586615,2
1324,0.421680391,2
172,0.163293183,2
303,0.965466678,2
671,0.220476165,2
885,0.615120709,2
249,0.552348495,2
927,0.97224468,2
454,0.279691517,2
1271,0.279691517,2
966,0.97224468,2
465,0.607900083,2
949,0.114036284,2
845,0.973990798,2
392,0.326537848,2
1286,0.969425678,2
812,0.966999531,2
698,0.145977736,2
820,0.425917059,2
1474,0.114036284,2
200,0.960036933,2
586,0.973990798,2
789,0.917342365,2
176,0.965940714,2
500,0.965466678,2
208,0.929427028,2
38,0.147565737,2
502,0.957979739,2
759,0.215792015,2
871,0.425917059,2
946,0.901114106,2
1159,0.106641263,2
1479,0.607900083,2
763,0.279691517,2
537,0.114036284,2
836,0.163293183,2
153,0.960036933,2
118,0.802586615,2
1081,0.425917059,2
856,0.926077366,2
3,0.818626225,2
680,0.965466678,2
954,0.965940714,2
731,0.552348495,2
519,0.922359824,2
164,0.453091055,2
1332,0.901114106,2
717,0.163293183,2
1409,0.326537848,2
844,0.97224468,2
479,0.802586615,2
545,0.973990798,2
260,0.425917059,2
756,0.776861906,2
583,0.615120709,2
455,0.965940714,2
217,0.978015959,2
225,0.425917059,2
351,0.960036933,2
32,0.247658908,2
1456,0.802586615,2
1506,0.984145701,2
210,0.884222865,2
579,0.816929281,2
957,0.965466678,2
1288,0.596462667,2
352,0.106641263,2
771,0.615120709,2
1495,0.857082784,2
1008,0.884222865,2
1273,0.152980477,2
1328,0.453091055,2
867,0.901114106,2
1411,0.698932171,2
8,0.73325181,2
648,0.802586615,2
1088,0.916056812,2
807,0.898122609,2
456,0.976437628,2
42,0.425917059,2
1266,0.745668769,2
434,0.316559851,2
1400,0.969177485,2
848,0.965466678,2
1310,0.698932171,2
286,0.97224468,2
1104,0.97224468,2
692,0.114036284,2
903,0.316559851,2
926,0.77284801,2
1192,0.220476165,2
377,0.615120709,2
510,0.951844871,2
110,0.901114106,2
762,0.965466678,2
907,0.929427028,2
1405,0.965466678,2
44,0.053793039,2
35,0.413556427,2
428,0.192685738,2
660,0.969425678,2
725,0.114036284,2
430,0.745668769,2
199,0.845121622,2
433,0.901114106,2
506,0.965940714,2
287,0.152980477,2
1168,0.969425678,2
753,0.317358166,2
50,0.425917059,2
1480,0.898122609,2
855,0.949731529,2
837,0.947178841,2
747,0.745668769,2
1361,0.453091055,2
177,0.235328883,2
974,0.965466678,2
1208,0.106641263,2
1126,0.316559851,2
1319,0.884474277,2
1158,0.453091055,2
1219,0.698932171,2
1482,0.752046347,2
843,0.263839006,2
585,0.763451755,2
1362,0.95147568,2
1156,0.960036933,2
893,0.884222865,2
283,0.615120709,2
1278,0.425917059,2
1436,0.929427028,2
1295,0.969425678,2
849,0.884222865,2
1229,0.220476165,2
940,0.898122609,2
833,0.225334391,2
1445,0.273618579,2
264,0.326537848,2
167,0.969425678,2
1185,0.316559851,2
608,0.965466678,2
1024,0.745668769,2
979,0.94789046,2
1472,0.926077366,2
728,0.965940714,2
931,0.902663589,2
1417,0.901047289,2
6,0.689281166,2
778,0.901114106,2
1094,0.114036284,2
1210,0.425917059,2
723,0.969425678,2
197,0.926077366,2
1392,0.152980477,2
1,0.51299268,2
1184,0.421680391,2
389,0.163293183,2
252,0.958634317,2
309,0.745668769,2
1125,0.745668769,2
967,0.884222865,2
839,0.607900083,2
1353,0.343067884,2
670,0.802586615,2
576,0.965466678,2
754,0.114036284,2
909,0.39535588,2
1496,0.913443744,2
1000,0.279691517,2
183,0.114036284,2
214,0.898122609,2
1194,0.967566848,2
336,0.152980477,2
566,0.34199217,2
189,0.316559851,2
653,0.152980477,2
27,0.937001705,2
1359,0.922359824,2
656,0.969425678,2
1372,0.922359824,2
58,0.965466678,2
458,0.607900083,2
640,0.421680391,2
143,0.133274391,2
1327,0.610934973,2
362,0.106641263,2
919,0.922359824,2
15,0.087258056,2
1149,0.97224468,2
1200,0.174518511,2
154,0.975529432,2
1354,0.898122609,2
1318,0.698932171,2
1163,0.607900083,2
884,0.421680391,2
548,0.884222865,2
531,0.776861906,2
135,0.508473992,2
263,0.776861906,2
327,0.898122609,2
912,0.528676629,2
1224,0.425917059,2
1069,0.552348495,2
928,0.929427028,2
398,0.285503805,2
1304,0.607900083,2
101,0.901114106,2
533,0.901114106,2
720,0.163293183,2
294,0.802586615,2
1048,0.832317948,2
227,0.776861906,2
1061,0.220476165,2
46,0.453091055,2
1134,0.106641263,2
504,0.326537848,2
1196,0.152980477,2
1441,0.776861906,2
505,0.745668769,2
923,0.969425678,2
556,0.965940714,2
730,0.615120709,2
216,0.425917059,2
799,0.106641263,2
555,0.326537848,2
1195,0.114036284,2
666,0.106641263,2
806,0.759183347,2
889,0.97224468,2
603,0.114036284,2
184,0.884222865,2
1299,0.884222865,2
378,0.698932171,2
715,0.931051493,2
508,0.552348495,2
1167,0.279691517,2
391,0.960036933,2
1253,0.965466678,2
412,0.973990798,2
400,0.96883285,2
1345,0.898122609,2
866,0.615120709,2
1060,0.114036284,2
1290,0.799770653,2
663,0.977680027,2
1412,0.97224468,2
598,0.163293183,2
444,0.965466678,2
16,0.015756637,2
122,0.960036933,2
201,0.698932171,2
522,0.960036933,2
595,0.898122609,2
64,0.201873913,2
1251,0.898122609,2
317,0.152980477,2
405,0.959729314,2
312,0.770404339,2
676,0.698932171,2
186,0.965940714,2
47,0.929427028,2
494,0.960036933,2
1446,0.134839922,2
897,0.884222865,2
1144,0.220476165,2
1320,0.615120709,2
191,0.316559851,2
427,0.802586615,2
31,0.652182043,2
1124,0.898122609,2
1294,0.425917059,2
517,0.922359824,2
958,0.224426344,2
284,0.504775167,2
1096,0.552348495,2
1486,0.850737274,2
791,0.868948579,2
639,0.615120709,2
1053,0.552348495,2
911,0.973990798,2
1075,0.819181919,2
241,0.922359824,2
823,0.898122609,2
1151,0.122275464,2
1494,0.965338051,2
1276,0.745668769,2
146,0.615120709,2
192,0.316559851,2
356,0.544042706,2
1259,0.326537848,2
589,0.960036933,2
452,0.419250101,2
489,0.081029996,2
507,0.977680027,2
1387,0.641017735,2
357,0.316559851,2
23,0.833528161,2
1305,0.849748015,2
26,0.055166665,2
1138,0.114036284,2
464,0.926077366,2
437,0.2761558,2
93,0.802586615,2
124,0.425411254,2
1145,0.698932171,2
882,0.91803807,2
104,0.884222865,2
818,0.603348136,2
1110,0.316559851,2
1414,0.922359824,2
1348,0.552348495,2
1240,0.973990798,2
1198,0.086866058,2
1402,0.745668769,2
1225,0.882396042,2
794,0.965940714,2
194,0.962967813,2
406,0.114036284,2
1178,0.163293183,2
567,0.890181184,2
787,0.163565665,2
1442,0.926077366,2
976,0.114036284,2
228,0.106641263,2
615,0.965940714,2
905,0.929427028,2
768,0.163293183,2
1233,0.303656548,2
1097,0.214414194,2
989,0.884222865,2
248,0.421680391,2
149,0.615120709,2
646,0.607900083,2
901,0.421680391,2
1509,0.984928429,2
318,0.215993792,2
1471,0.906815052,2
973,0.97224468,2
1453,0.220476165,2
1346,0.971041381,2
963,0.898122609,2
259,0.421680391,2
460,0.719505847,2
661,0.1875007,2
73,0.929427028,2
1034,0.106641263,2
469,0.977680027,2
1197,0.951842844,2
366,0.965466678,2
859,0.789462864,2
777,0.220476165,2
262,0.425917059,2
1296,0.884222865,2
381,0.316559851,2
102,0.395461023,2
877,0.067403935,2
1341,0.922359824,2
1497,0.752672017,2
218,0.152980477,2
1162,0.220476165,2
526,0.607900083,2
67,0.965940714,2
887,0.745668769,2
872,0.106641263,2
938,0.97224468,2
1153,0.745668769,2
385,0.973990798,2
821,0.279691517,2
115,0.819181919,2
1063,0.47222811,2
54,0.152980477,2
1394,0.922359824,2
117,0.220476165,2
686,0.802586615,2
854,0.425917059,2
136,0.698932171,2
22,0.068911158,2
87,0.488627106,2
1433,0.397544146,2
103,0.421680391,2
1141,0.969425678,2
987,0.922359824,2
610,0.745668769,2
1477,0.965940714,2
1165,0.317539722,2
1025,0.552348495,2
285,0.977680027,2
59,0.965466678,2
1331,0.264229804,2
234,0.453091055,2
757,0.698932171,2
535,0.615120709,2
1066,0.973990798,2
244,0.220476165,2
1498,0.483848184,2
1115,0.661943972,2
1398,0.745668769,2
900,0.615120709,2
617,0.926077366,2
642,0.745668769,2
190,0.926077366,2
196,0.969425678,2
1202,0.425917059,2
386,0.220476165,2
621,0.969425678,2
1248,0.960036933,2
473,0.631105423,2
66,0.97224468,2
162,0.973990798,2
687,0.884222865,2
613,0.152980477,2
175,0.607900083,2
490,0.453091055,2
498,0.916840792,2
1011,0.951740444,2
1302,0.607900083,2
1457,0.926077366,2
1111,0.965466678,2
1203,0.745668769,2
387,0.97224468,2
1255,0.552348495,2
977,0.910235345,2
558,0.884222865,2
605,0.91191864,2
779,0.326537848,2
562,0.922359824,2
292,0.728957355,2
388,0.316559851,2
281,0.922359824,2
701,0.421680391,2
105,0.929427028,2
55,0.973990798,2
390,0.279691517,2
841,0.425917059,2
781,0.934667468,2
401,0.453091055,2
1277,0.528676629,2
5,0.605975151,2
815,0.977680027,2
1342,0.745668769,2
1415,0.960036933,2
707,0.425917059,2
1036,0.220476165,2
834,0.163293183,2
1015,0.212000683,2
1487,0.913443744,2
602,0.973990798,2
417,0.279691517,2
1254,0.343075484,2
1129,0.960036933,2
1432,0.059865419,2
399,0.876429677,2
345,0.596462667,2
738,0.698932171,2
240,0.84845376,2
702,0.12570031,2
486,0.969425678,2
1407,0.969425678,2
420,0.745668769,2
1258,0.977680027,2
266,0.929427028,2
746,0.552348495,2
1033,0.954525292,2
736,0.114036284,2
1027,0.884222865,2
1465,0.316559851,2
1338,0.977680027,2
341,0.977680027,2
515,0.279691517,2
144,0.962434828,2
1199,0.152980477,2
152,0.965466678,2
413,0.745668769,2
1470,0.929427028,2
1099,0.106641263,2
1170,0.425917059,2
476,0.943564653,2
982,0.960036933,2
36,0.037992734,2
1473,0.326537848,2
501,0.965466678,2
766,0.977680027,2
1351,0.279691517,2
1090,0.220476165,2
991,0.760424614,2
188,0.776861906,2
1241,0.326537848,2
1143,0.106641263,2
1434,0.745668769,2
52,0.960036933,2
622,0.926077366,2
448,0.973990798,2
638,0.106641263,2
553,0.745668769,2
1504,0.776334167,2
924,0.42243883,2
209,0.316559851,2
