,TOXICITY,deaf
844,0.093461998,3
115,0.736887753,3
1394,0.653122962,3
38,0.11110913,3
1391,0.372296005,3
1283,0.360975266,3
764,0.956047118,3
485,0.872855186,3
1089,0.889835,3
1304,0.238480464,3
246,0.377538532,3
492,0.736887753,3
730,0.961456835,3
487,0.372296005,3
746,0.187820703,3
1389,0.066100329,3
675,0.051143911,3
1059,0.942619443,3
1513,0.634567916,3
1369,0.093461998,3
1353,0.736887753,3
1013,0.345757544,3
571,0.959914446,3
738,0.974135041,3
1412,0.360975266,3
1511,0.962668896,3
1142,0.238480464,3
621,0.872855186,3
1393,0.372296005,3
767,0.372296005,3
902,0.270306379,3
596,0.887038708,3
1214,0.960043967,3
1084,0.176924497,3
921,0.293639034,3
741,0.58532089,3
1288,0.11435809,3
375,0.939510882,3
1235,0.960043967,3
722,0.181121677,3
1258,0.238480464,3
604,0.187820703,3
896,0.876864254,3
628,0.908921003,3
182,0.066100329,3
198,0.441941738,3
1006,0.872855186,3
470,0.736887753,3
44,0.044328522,3
268,0.103124253,3
1478,0.887116849,3
982,0.653122962,3
524,0.051143911,3
643,0.270306379,3
802,0.942619443,3
1010,0.817227721,3
1461,0.887116849,3
1003,0.942619443,3
1285,0.360975266,3
1333,0.372296005,3
441,0.051143911,3
147,0.58532089,3
1474,0.736887753,3
1390,0.066100329,3
1317,0.215551421,3
935,0.238378331,3
695,0.961456835,3
306,0.934607327,3
49,0.950175345,3
551,0.782198191,3
101,0.872855186,3
656,0.887038708,3
692,0.130003452,3
379,0.922532856,3
495,0.960043967,3
245,0.745712399,3
253,0.872855186,3
629,0.903312027,3
172,0.887116849,3
1170,0.072332315,3
1280,0.11435809,3
388,0.044480793,3
863,0.974135041,3
59,0.141974092,3
780,0.952744663,3
615,0.942619443,3
850,0.782198191,3
126,0.902898431,3
249,0.051143911,3
149,0.974135041,3
960,0.360975266,3
646,0.432520777,3
508,0.432520777,3
768,0.653122962,3
526,0.939510882,3
520,0.902898431,3
573,0.950175345,3
1397,0.857671499,3
21,0.017584551,3
1073,0.372296005,3
944,0.092921346,3
1259,0.939510882,3
838,0.653122962,3
1062,0.694841027,3
515,0.432520777,3
1083,0.293639034,3
1158,0.178561866,3
360,0.902898431,3
31,0.018993817,3
816,0.961456835,3
452,0.58532089,3
1238,0.395744413,3
212,0.066100329,3
155,0.129112467,3
988,0.908921003,3
359,0.234392062,3
1015,0.653122962,3
995,0.961456835,3
1055,0.293639034,3
1239,0.360975266,3
1363,0.270306379,3
213,0.11435809,3
883,0.187820703,3
475,0.119810008,3
1459,0.782198191,3
601,0.960043967,3
1230,0.902898431,3
262,0.961456835,3
210,0.118368067,3
718,0.396842837,3
1436,0.95844698,3
778,0.799744546,3
677,0.051143911,3
1290,0.187820703,3
532,0.922532856,3
898,0.345757544,3
748,0.11435809,3
620,0.042712685,3
13,0.050936382,3
23,0.02868103,3
1192,0.939510882,3
266,0.193325385,3
1148,0.58532089,3
203,0.766288161,3
1252,0.922532856,3
1202,0.956047118,3
1374,0.887116849,3
478,0.922532856,3
497,0.902898431,3
237,0.782198191,3
566,0.974135041,3
